hour_instant,dteday,hr,holiday,workingday,weathersit,temp,hum,windspeed,hour_count,instant_y,season,weekday,day_count,is_weekend,hour_to_day_ratio,time_category,temp_category
17,2011-01-01,16,0,0,2,0.42,0.82,0.2985,93,1,1,6,985,Weekend,0.09441624365482233,Off-Peak Hours,Medium
18,2011-01-01,17,0,0,2,0.44,0.82,0.2836,67,1,1,6,985,Weekend,0.06802030456852792,Peak Hours,Medium
19,2011-01-01,18,0,0,3,0.42,0.88,0.2537,35,1,1,6,985,Weekend,0.03553299492385787,Peak Hours,Medium
20,2011-01-01,19,0,0,3,0.42,0.88,0.2537,37,1,1,6,985,Weekend,0.03756345177664975,Peak Hours,Medium
21,2011-01-01,20,0,0,2,0.4,0.87,0.2537,36,1,1,6,985,Weekend,0.03654822335025381,Off-Peak Hours,Medium
22,2011-01-01,21,0,0,2,0.4,0.87,0.194,34,1,1,6,985,Weekend,0.03451776649746193,Off-Peak Hours,Medium
23,2011-01-01,22,0,0,2,0.4,0.94,0.2239,28,1,1,6,985,Weekend,0.028426395939086295,Off-Peak Hours,Medium
24,2011-01-01,23,0,0,2,0.46,0.88,0.2985,39,1,1,6,985,Weekend,0.03959390862944162,Off-Peak Hours,Medium
25,2011-01-02,0,0,0,2,0.46,0.88,0.2985,17,2,1,0,801,Weekend,0.02122347066167291,Off-Peak Hours,Medium
26,2011-01-02,1,0,0,2,0.44,0.94,0.2537,17,2,1,0,801,Weekend,0.02122347066167291,Off-Peak Hours,Medium
27,2011-01-02,2,0,0,2,0.42,1.0,0.2836,9,2,1,0,801,Weekend,0.011235955056179775,Off-Peak Hours,Medium
28,2011-01-02,3,0,0,2,0.46,0.94,0.194,6,2,1,0,801,Weekend,0.00749063670411985,Off-Peak Hours,Medium
29,2011-01-02,4,0,0,2,0.46,0.94,0.194,3,2,1,0,801,Weekend,0.003745318352059925,Off-Peak Hours,Medium
30,2011-01-02,6,0,0,3,0.42,0.77,0.2985,2,2,1,0,801,Weekend,0.0024968789013732834,Off-Peak Hours,Medium
31,2011-01-02,7,0,0,2,0.4,0.76,0.194,1,2,1,0,801,Weekend,0.0012484394506866417,Peak Hours,Medium
32,2011-01-02,8,0,0,3,0.4,0.71,0.2239,8,2,1,0,801,Weekend,0.009987515605493134,Peak Hours,Medium
33,2011-01-02,9,0,0,2,0.38,0.76,0.2239,20,2,1,0,801,Weekend,0.024968789013732832,Peak Hours,Medium
34,2011-01-02,10,0,0,2,0.36,0.81,0.2239,53,2,1,0,801,Weekend,0.066167290886392,Off-Peak Hours,Medium
35,2011-01-02,11,0,0,2,0.36,0.71,0.2537,70,2,1,0,801,Weekend,0.08739076154806492,Off-Peak Hours,Medium
36,2011-01-02,12,0,0,2,0.36,0.66,0.2985,93,2,1,0,801,Weekend,0.11610486891385768,Off-Peak Hours,Medium
37,2011-01-02,13,0,0,2,0.36,0.66,0.1343,75,2,1,0,801,Weekend,0.09363295880149813,Off-Peak Hours,Medium
38,2011-01-02,14,0,0,3,0.36,0.76,0.194,59,2,1,0,801,Weekend,0.07365792759051186,Off-Peak Hours,Medium
39,2011-01-02,15,0,0,3,0.34,0.81,0.1642,74,2,1,0,801,Weekend,0.09238451935081149,Off-Peak Hours,Medium
40,2011-01-02,16,0,0,3,0.34,0.71,0.1642,76,2,1,0,801,Weekend,0.09488139825218476,Off-Peak Hours,Medium
41,2011-01-02,17,0,0,1,0.34,0.57,0.194,65,2,1,0,801,Weekend,0.08114856429463171,Peak Hours,Medium
42,2011-01-02,18,0,0,2,0.36,0.46,0.3284,53,2,1,0,801,Weekend,0.066167290886392,Peak Hours,Medium
43,2011-01-02,19,0,0,1,0.32,0.42,0.4478,30,2,1,0,801,Weekend,0.03745318352059925,Peak Hours,Low
44,2011-01-02,20,0,0,1,0.3,0.39,0.3582,22,2,1,0,801,Weekend,0.02746566791510612,Off-Peak Hours,Low
45,2011-01-02,21,0,0,1,0.26,0.44,0.3284,31,2,1,0,801,Weekend,0.03870162297128589,Off-Peak Hours,Low
46,2011-01-02,22,0,0,1,0.24,0.44,0.2985,9,2,1,0,801,Weekend,0.011235955056179775,Off-Peak Hours,Low
47,2011-01-02,23,0,0,1,0.22,0.47,0.1642,8,2,1,0,801,Weekend,0.009987515605493134,Off-Peak Hours,Low
48,2011-01-03,0,0,1,1,0.22,0.44,0.3582,5,3,1,1,1349,Weekday,0.0037064492216456633,Off-Peak Hours,Low
49,2011-01-03,1,0,1,1,0.2,0.44,0.4179,2,3,1,1,1349,Weekday,0.0014825796886582653,Off-Peak Hours,Low
50,2011-01-03,4,0,1,1,0.16,0.47,0.3881,1,3,1,1,1349,Weekday,0.0007412898443291327,Off-Peak Hours,Low
51,2011-01-03,5,0,1,1,0.16,0.47,0.2836,3,3,1,1,1349,Weekday,0.002223869532987398,Off-Peak Hours,Low
52,2011-01-03,6,0,1,1,0.14,0.5,0.3881,30,3,1,1,1349,Weekday,0.02223869532987398,Off-Peak Hours,Low
53,2011-01-03,7,0,1,1,0.14,0.5,0.194,64,3,1,1,1349,Weekday,0.04744255003706449,Peak Hours,Low
54,2011-01-03,8,0,1,1,0.14,0.5,0.2836,154,3,1,1,1349,Weekday,0.11415863602668644,Peak Hours,Low
55,2011-01-03,9,0,1,1,0.16,0.43,0.3881,88,3,1,1,1349,Weekday,0.06523350630096368,Peak Hours,Low
56,2011-01-03,10,0,1,1,0.18,0.43,0.2537,44,3,1,1,1349,Weekday,0.03261675315048184,Off-Peak Hours,Low
57,2011-01-03,11,0,1,1,0.2,0.4,0.3284,51,3,1,1,1349,Weekday,0.03780578206078577,Off-Peak Hours,Low
58,2011-01-03,12,0,1,1,0.22,0.35,0.2985,61,3,1,1,1349,Weekday,0.0452186805040771,Off-Peak Hours,Low
59,2011-01-03,13,0,1,1,0.24,0.35,0.2836,61,3,1,1,1349,Weekday,0.0452186805040771,Off-Peak Hours,Low
60,2011-01-03,14,0,1,1,0.26,0.3,0.2836,77,3,1,1,1349,Weekday,0.05707931801334322,Off-Peak Hours,Low
61,2011-01-03,15,0,1,1,0.26,0.3,0.2537,72,3,1,1,1349,Weekday,0.05337286879169755,Off-Peak Hours,Low
62,2011-01-03,16,0,1,1,0.26,0.3,0.2537,76,3,1,1,1349,Weekday,0.056338028169014086,Off-Peak Hours,Low
63,2011-01-03,17,0,1,1,0.24,0.3,0.2239,157,3,1,1,1349,Weekday,0.11638250555967383,Peak Hours,Low
64,2011-01-03,18,0,1,1,0.24,0.32,0.1045,157,3,1,1,1349,Weekday,0.11638250555967383,Peak Hours,Low
65,2011-01-03,19,0,1,1,0.2,0.47,0.0,110,3,1,1,1349,Weekday,0.08154188287620459,Peak Hours,Low
66,2011-01-03,20,0,1,1,0.2,0.47,0.1045,52,3,1,1,1349,Weekday,0.0385470719051149,Off-Peak Hours,Low
67,2011-01-03,21,0,1,1,0.18,0.64,0.1343,52,3,1,1,1349,Weekday,0.0385470719051149,Off-Peak Hours,Low
68,2011-01-03,22,0,1,1,0.14,0.69,0.1343,20,3,1,1,1349,Weekday,0.014825796886582653,Off-Peak Hours,Low
69,2011-01-03,23,0,1,1,0.18,0.55,0.1045,12,3,1,1,1349,Weekday,0.008895478131949592,Off-Peak Hours,Low
70,2011-01-04,0,0,1,1,0.16,0.55,0.1045,5,4,1,2,1562,Weekday,0.003201024327784891,Off-Peak Hours,Low
71,2011-01-04,1,0,1,1,0.16,0.59,0.1045,2,4,1,2,1562,Weekday,0.0012804097311139564,Off-Peak Hours,Low
72,2011-01-04,2,0,1,1,0.14,0.63,0.1343,1,4,1,2,1562,Weekday,0.0006402048655569782,Off-Peak Hours,Low
73,2011-01-04,4,0,1,1,0.14,0.63,0.0896,2,4,1,2,1562,Weekday,0.0012804097311139564,Off-Peak Hours,Low
74,2011-01-04,5,0,1,1,0.12,0.68,0.1045,4,4,1,2,1562,Weekday,0.002560819462227913,Off-Peak Hours,Low
75,2011-01-04,6,0,1,1,0.12,0.74,0.1045,36,4,1,2,1562,Weekday,0.023047375160051217,Off-Peak Hours,Low
76,2011-01-04,7,0,1,1,0.12,0.74,0.1343,94,4,1,2,1562,Weekday,0.06017925736235595,Peak Hours,Low
77,2011-01-04,8,0,1,1,0.14,0.69,0.1642,179,4,1,2,1562,Weekday,0.11459667093469911,Peak Hours,Low
78,2011-01-04,9,0,1,1,0.16,0.64,0.2239,100,4,1,2,1562,Weekday,0.06402048655569782,Peak Hours,Low
79,2011-01-04,10,0,1,2,0.16,0.69,0.3284,42,4,1,2,1562,Weekday,0.026888604353393086,Off-Peak Hours,Low
80,2011-01-04,11,0,1,1,0.22,0.51,0.2985,57,4,1,2,1562,Weekday,0.03649167733674776,Off-Peak Hours,Low
81,2011-01-04,12,0,1,1,0.22,0.51,0.1642,78,4,1,2,1562,Weekday,0.0499359795134443,Off-Peak Hours,Low
82,2011-01-04,13,0,1,1,0.24,0.56,0.194,97,4,1,2,1562,Weekday,0.06209987195902689,Off-Peak Hours,Low
83,2011-01-04,14,0,1,1,0.26,0.52,0.2239,63,4,1,2,1562,Weekday,0.04033290653008963,Off-Peak Hours,Low
84,2011-01-04,15,0,1,1,0.28,0.52,0.2537,65,4,1,2,1562,Weekday,0.041613316261203584,Off-Peak Hours,Low
85,2011-01-04,16,0,1,1,0.3,0.49,0.2537,83,4,1,2,1562,Weekday,0.05313700384122919,Off-Peak Hours,Low
86,2011-01-04,17,0,1,1,0.28,0.48,0.2239,212,4,1,2,1562,Weekday,0.1357234314980794,Peak Hours,Low
87,2011-01-04,18,0,1,1,0.26,0.48,0.194,182,4,1,2,1562,Weekday,0.11651728553137004,Peak Hours,Low
88,2011-01-04,19,0,1,1,0.24,0.48,0.1045,112,4,1,2,1562,Weekday,0.07170294494238157,Peak Hours,Low
89,2011-01-04,20,0,1,1,0.24,0.48,0.1045,54,4,1,2,1562,Weekday,0.034571062740076826,Off-Peak Hours,Low
90,2011-01-04,21,0,1,1,0.22,0.64,0.0,48,4,1,2,1562,Weekday,0.030729833546734954,Off-Peak Hours,Low
91,2011-01-04,22,0,1,1,0.22,0.64,0.0896,35,4,1,2,1562,Weekday,0.02240717029449424,Off-Peak Hours,Low
92,2011-01-04,23,0,1,1,0.2,0.69,0.0896,11,4,1,2,1562,Weekday,0.007042253521126761,Off-Peak Hours,Low
93,2011-01-05,0,0,1,1,0.2,0.64,0.0,6,5,1,3,1600,Weekday,0.00375,Off-Peak Hours,Low
94,2011-01-05,1,0,1,1,0.16,0.74,0.0896,6,5,1,3,1600,Weekday,0.00375,Off-Peak Hours,Low
95,2011-01-05,2,0,1,1,0.16,0.74,0.0896,2,5,1,3,1600,Weekday,0.00125,Off-Peak Hours,Low
96,2011-01-05,4,0,1,1,0.24,0.48,0.2239,2,5,1,3,1600,Weekday,0.00125,Off-Peak Hours,Low
97,2011-01-05,5,0,1,1,0.22,0.47,0.1642,3,5,1,3,1600,Weekday,0.001875,Off-Peak Hours,Low
98,2011-01-05,6,0,1,1,0.2,0.47,0.2239,33,5,1,3,1600,Weekday,0.020625,Off-Peak Hours,Low
99,2011-01-05,7,0,1,1,0.18,0.43,0.194,88,5,1,3,1600,Weekday,0.055,Peak Hours,Low
100,2011-01-05,8,0,1,1,0.2,0.4,0.2985,195,5,1,3,1600,Weekday,0.121875,Peak Hours,Low
101,2011-01-05,9,0,1,1,0.22,0.37,0.3284,115,5,1,3,1600,Weekday,0.071875,Peak Hours,Low
102,2011-01-05,10,0,1,1,0.22,0.37,0.3284,57,5,1,3,1600,Weekday,0.035625,Off-Peak Hours,Low
103,2011-01-05,11,0,1,1,0.26,0.33,0.3284,46,5,1,3,1600,Weekday,0.02875,Off-Peak Hours,Low
104,2011-01-05,12,0,1,1,0.26,0.33,0.3284,79,5,1,3,1600,Weekday,0.049375,Off-Peak Hours,Low
105,2011-01-05,13,0,1,1,0.28,0.3,0.2985,71,5,1,3,1600,Weekday,0.044375,Off-Peak Hours,Low
106,2011-01-05,14,0,1,1,0.3,0.28,0.194,62,5,1,3,1600,Weekday,0.03875,Off-Peak Hours,Low
107,2011-01-05,15,0,1,1,0.3,0.28,0.194,62,5,1,3,1600,Weekday,0.03875,Off-Peak Hours,Low
108,2011-01-05,16,0,1,1,0.3,0.28,0.0896,89,5,1,3,1600,Weekday,0.055625,Off-Peak Hours,Low
109,2011-01-05,17,0,1,1,0.24,0.38,0.194,190,5,1,3,1600,Weekday,0.11875,Peak Hours,Low
110,2011-01-05,18,0,1,1,0.24,0.38,0.1343,169,5,1,3,1600,Weekday,0.105625,Peak Hours,Low
111,2011-01-05,19,0,1,1,0.24,0.38,0.1045,132,5,1,3,1600,Weekday,0.0825,Peak Hours,Low
112,2011-01-05,20,0,1,1,0.22,0.47,0.1642,89,5,1,3,1600,Weekday,0.055625,Off-Peak Hours,Low
113,2011-01-05,21,0,1,1,0.2,0.51,0.194,43,5,1,3,1600,Weekday,0.026875,Off-Peak Hours,Low
114,2011-01-05,22,0,1,1,0.18,0.55,0.1343,42,5,1,3,1600,Weekday,0.02625,Off-Peak Hours,Low
115,2011-01-05,23,0,1,1,0.2,0.47,0.0,19,5,1,3,1600,Weekday,0.011875,Off-Peak Hours,Low
116,2011-01-06,0,0,1,1,0.18,0.55,0.0,11,6,1,4,1606,Weekday,0.00684931506849315,Off-Peak Hours,Low
117,2011-01-06,1,0,1,1,0.16,0.64,0.0,4,6,1,4,1606,Weekday,0.0024906600249066002,Off-Peak Hours,Low
118,2011-01-06,2,0,1,1,0.16,0.64,0.0,2,6,1,4,1606,Weekday,0.0012453300124533001,Off-Peak Hours,Low
119,2011-01-06,4,0,1,2,0.16,0.64,0.0896,1,6,1,4,1606,Weekday,0.0006226650062266501,Off-Peak Hours,Low
120,2011-01-06,5,0,1,2,0.14,0.69,0.0896,4,6,1,4,1606,Weekday,0.0024906600249066002,Off-Peak Hours,Low
121,2011-01-06,6,0,1,2,0.14,0.63,0.1045,36,6,1,4,1606,Weekday,0.0224159402241594,Off-Peak Hours,Low
122,2011-01-06,7,0,1,2,0.16,0.59,0.0,95,6,1,4,1606,Weekday,0.059153175591531756,Peak Hours,Low
123,2011-01-06,8,0,1,1,0.16,0.59,0.0,219,6,1,4,1606,Weekday,0.13636363636363635,Peak Hours,Low
124,2011-01-06,9,0,1,2,0.18,0.51,0.0,122,6,1,4,1606,Weekday,0.0759651307596513,Peak Hours,Low
125,2011-01-06,10,0,1,1,0.2,0.47,0.0,45,6,1,4,1606,Weekday,0.028019925280199254,Off-Peak Hours,Low
126,2011-01-06,11,0,1,1,0.22,0.44,0.0896,59,6,1,4,1606,Weekday,0.036737235367372355,Off-Peak Hours,Low
127,2011-01-06,12,0,1,1,0.26,0.35,0.0,84,6,1,4,1606,Weekday,0.052303860523038606,Off-Peak Hours,Low
128,2011-01-06,13,0,1,1,0.26,0.35,0.1045,67,6,1,4,1606,Weekday,0.041718555417185554,Off-Peak Hours,Low
129,2011-01-06,14,0,1,1,0.28,0.36,0.1642,70,6,1,4,1606,Weekday,0.043586550435865505,Off-Peak Hours,Low
130,2011-01-06,15,0,1,1,0.28,0.36,0.0,62,6,1,4,1606,Weekday,0.038605230386052306,Off-Peak Hours,Low
131,2011-01-06,16,0,1,1,0.26,0.38,0.1642,86,6,1,4,1606,Weekday,0.053549190535491904,Off-Peak Hours,Low
132,2011-01-06,17,0,1,1,0.22,0.51,0.1642,172,6,1,4,1606,Weekday,0.10709838107098381,Peak Hours,Low
133,2011-01-06,18,0,1,1,0.22,0.51,0.1343,163,6,1,4,1606,Weekday,0.10149439601494396,Peak Hours,Low
134,2011-01-06,19,0,1,1,0.22,0.55,0.0896,112,6,1,4,1606,Weekday,0.06973848069738481,Peak Hours,Low
135,2011-01-06,20,0,1,1,0.2,0.51,0.1642,69,6,1,4,1606,Weekday,0.04296388542963885,Off-Peak Hours,Low
136,2011-01-06,21,0,1,2,0.22,0.55,0.2239,48,6,1,4,1606,Weekday,0.029887920298879204,Off-Peak Hours,Low
137,2011-01-06,22,0,1,2,0.22,0.51,0.2836,52,6,1,4,1606,Weekday,0.0323785803237858,Off-Peak Hours,Low
138,2011-01-06,23,0,1,2,0.2,0.59,0.194,23,6,1,4,1606,Weekday,0.014321295143212951,Off-Peak Hours,Low
139,2011-01-07,0,0,1,2,0.2,0.64,0.194,17,7,1,5,1510,Weekday,0.011258278145695364,Off-Peak Hours,Low
140,2011-01-07,1,0,1,2,0.2,0.69,0.2239,7,7,1,5,1510,Weekday,0.004635761589403974,Off-Peak Hours,Low
141,2011-01-07,2,0,1,2,0.2,0.69,0.2239,1,7,1,5,1510,Weekday,0.0006622516556291391,Off-Peak Hours,Low
142,2011-01-07,4,0,1,2,0.2,0.69,0.1343,1,7,1,5,1510,Weekday,0.0006622516556291391,Off-Peak Hours,Low
143,2011-01-07,5,0,1,3,0.22,0.55,0.0,5,7,1,5,1510,Weekday,0.0033112582781456954,Off-Peak Hours,Low
144,2011-01-07,6,0,1,2,0.2,0.69,0.0,34,7,1,5,1510,Weekday,0.022516556291390728,Off-Peak Hours,Low
145,2011-01-07,7,0,1,1,0.2,0.69,0.1343,84,7,1,5,1510,Weekday,0.05562913907284768,Peak Hours,Low
146,2011-01-07,8,0,1,1,0.2,0.51,0.2537,210,7,1,5,1510,Weekday,0.1390728476821192,Peak Hours,Low
147,2011-01-07,9,0,1,1,0.2,0.47,0.2985,134,7,1,5,1510,Weekday,0.08874172185430464,Peak Hours,Low
148,2011-01-07,10,0,1,1,0.22,0.37,0.3284,63,7,1,5,1510,Weekday,0.041721854304635764,Off-Peak Hours,Low
149,2011-01-07,11,0,1,2,0.2,0.4,0.2239,67,7,1,5,1510,Weekday,0.04437086092715232,Off-Peak Hours,Low
150,2011-01-07,12,0,1,2,0.2,0.37,0.2537,59,7,1,5,1510,Weekday,0.0390728476821192,Off-Peak Hours,Low
151,2011-01-07,13,0,1,2,0.2,0.37,0.2836,73,7,1,5,1510,Weekday,0.048344370860927154,Off-Peak Hours,Low
152,2011-01-07,14,0,1,2,0.2,0.4,0.2537,50,7,1,5,1510,Weekday,0.033112582781456956,Off-Peak Hours,Low
153,2011-01-07,15,0,1,2,0.2,0.37,0.1642,72,7,1,5,1510,Weekday,0.04768211920529802,Off-Peak Hours,Low
154,2011-01-07,16,0,1,2,0.2,0.37,0.1642,87,7,1,5,1510,Weekday,0.0576158940397351,Off-Peak Hours,Low
155,2011-01-07,17,0,1,2,0.2,0.37,0.0,187,7,1,5,1510,Weekday,0.123841059602649,Peak Hours,Low
156,2011-01-07,18,0,1,1,0.2,0.4,0.0896,123,7,1,5,1510,Weekday,0.0814569536423841,Peak Hours,Low
157,2011-01-07,19,0,1,1,0.16,0.55,0.0896,95,7,1,5,1510,Weekday,0.06291390728476821,Peak Hours,Low
158,2011-01-07,20,0,1,1,0.18,0.47,0.1045,51,7,1,5,1510,Weekday,0.03377483443708609,Off-Peak Hours,Low
159,2011-01-07,21,0,1,1,0.18,0.47,0.1343,39,7,1,5,1510,Weekday,0.025827814569536423,Off-Peak Hours,Low
160,2011-01-07,22,0,1,2,0.18,0.43,0.1642,36,7,1,5,1510,Weekday,0.02384105960264901,Off-Peak Hours,Low
161,2011-01-07,23,0,1,2,0.18,0.51,0.1642,15,7,1,5,1510,Weekday,0.009933774834437087,Off-Peak Hours,Low
162,2011-01-08,0,0,0,2,0.18,0.51,0.1642,25,8,1,6,959,Weekend,0.026068821689259645,Off-Peak Hours,Low
163,2011-01-08,1,0,0,2,0.18,0.55,0.0896,16,8,1,6,959,Weekend,0.016684045881126174,Off-Peak Hours,Low
164,2011-01-08,2,0,0,2,0.18,0.55,0.0,16,8,1,6,959,Weekend,0.016684045881126174,Off-Peak Hours,Low
165,2011-01-08,3,0,0,3,0.18,0.55,0.1642,7,8,1,6,959,Weekend,0.0072992700729927005,Off-Peak Hours,Low
166,2011-01-08,4,0,0,3,0.18,0.55,0.1642,1,8,1,6,959,Weekend,0.0010427528675703858,Off-Peak Hours,Low
167,2011-01-08,5,0,0,2,0.16,0.74,0.1642,5,8,1,6,959,Weekend,0.005213764337851929,Off-Peak Hours,Low
168,2011-01-08,6,0,0,2,0.16,0.74,0.1642,2,8,1,6,959,Weekend,0.0020855057351407717,Off-Peak Hours,Low
169,2011-01-08,7,0,0,2,0.16,0.74,0.1045,9,8,1,6,959,Weekend,0.009384775808133473,Peak Hours,Low
170,2011-01-08,8,0,0,3,0.16,0.93,0.1045,15,8,1,6,959,Weekend,0.01564129301355579,Peak Hours,Low
171,2011-01-08,9,0,0,3,0.16,0.93,0.1045,20,8,1,6,959,Weekend,0.020855057351407715,Peak Hours,Low
172,2011-01-08,10,0,0,2,0.18,0.8,0.1642,61,8,1,6,959,Weekend,0.06360792492179354,Off-Peak Hours,Low
173,2011-01-08,11,0,0,2,0.2,0.69,0.3881,62,8,1,6,959,Weekend,0.06465067778936393,Off-Peak Hours,Low
174,2011-01-08,12,0,0,2,0.2,0.59,0.3582,98,8,1,6,959,Weekend,0.10218978102189781,Off-Peak Hours,Low
175,2011-01-08,13,0,0,1,0.2,0.44,0.3284,102,8,1,6,959,Weekend,0.10636079249217935,Off-Peak Hours,Low
176,2011-01-08,14,0,0,1,0.2,0.32,0.4925,95,8,1,6,959,Weekend,0.09906152241918666,Off-Peak Hours,Low
177,2011-01-08,15,0,0,1,0.2,0.32,0.4478,74,8,1,6,959,Weekend,0.07716371220020855,Off-Peak Hours,Low
178,2011-01-08,16,0,0,1,0.18,0.29,0.4478,76,8,1,6,959,Weekend,0.07924921793534932,Off-Peak Hours,Low
179,2011-01-08,17,0,0,1,0.16,0.37,0.5522,69,8,1,6,959,Weekend,0.07194994786235662,Peak Hours,Low
180,2011-01-08,18,0,0,1,0.14,0.39,0.2985,55,8,1,6,959,Weekend,0.05735140771637122,Peak Hours,Low
181,2011-01-08,19,0,0,1,0.14,0.36,0.2537,30,8,1,6,959,Weekend,0.03128258602711158,Peak Hours,Low
182,2011-01-08,20,0,0,1,0.12,0.36,0.2537,28,8,1,6,959,Weekend,0.029197080291970802,Off-Peak Hours,Low
183,2011-01-08,21,0,0,1,0.12,0.39,0.3582,37,8,1,6,959,Weekend,0.03858185610010428,Off-Peak Hours,Low
184,2011-01-08,22,0,0,1,0.12,0.36,0.3881,34,8,1,6,959,Weekend,0.035453597497393116,Off-Peak Hours,Low
185,2011-01-08,23,0,0,1,0.1,0.39,0.4478,22,8,1,6,959,Weekend,0.022940563086548488,Off-Peak Hours,Low
186,2011-01-09,0,0,0,1,0.1,0.42,0.3881,25,9,1,0,822,Weekend,0.030413625304136254,Off-Peak Hours,Low
187,2011-01-09,1,0,0,1,0.1,0.42,0.4627,12,9,1,0,822,Weekend,0.014598540145985401,Off-Peak Hours,Low
188,2011-01-09,2,0,0,1,0.1,0.46,0.4627,11,9,1,0,822,Weekend,0.01338199513381995,Off-Peak Hours,Low
189,2011-01-09,3,0,0,1,0.1,0.46,0.4179,4,9,1,0,822,Weekend,0.004866180048661801,Off-Peak Hours,Low
190,2011-01-09,4,0,0,1,0.08,0.53,0.194,1,9,1,0,822,Weekend,0.0012165450121654502,Off-Peak Hours,Low
191,2011-01-09,5,0,0,1,0.08,0.53,0.194,1,9,1,0,822,Weekend,0.0012165450121654502,Off-Peak Hours,Low
192,2011-01-09,6,0,0,1,0.1,0.49,0.2836,1,9,1,0,822,Weekend,0.0012165450121654502,Off-Peak Hours,Low
193,2011-01-09,7,0,0,1,0.08,0.53,0.194,6,9,1,0,822,Weekend,0.0072992700729927005,Peak Hours,Low
194,2011-01-09,8,0,0,1,0.1,0.49,0.2836,10,9,1,0,822,Weekend,0.012165450121654502,Peak Hours,Low
195,2011-01-09,9,0,0,1,0.12,0.46,0.5224,19,9,1,0,822,Weekend,0.023114355231143552,Peak Hours,Low
196,2011-01-09,10,0,0,1,0.14,0.43,0.3881,49,9,1,0,822,Weekend,0.05961070559610705,Off-Peak Hours,Low
197,2011-01-09,11,0,0,1,0.16,0.4,0.5224,49,9,1,0,822,Weekend,0.05961070559610705,Off-Peak Hours,Low
198,2011-01-09,12,0,0,1,0.18,0.37,0.4478,83,9,1,0,822,Weekend,0.10097323600973236,Off-Peak Hours,Low
199,2011-01-09,13,0,0,1,0.2,0.34,0.4478,75,9,1,0,822,Weekend,0.09124087591240876,Off-Peak Hours,Low
200,2011-01-09,14,0,0,1,0.22,0.32,0.4627,72,9,1,0,822,Weekend,0.08759124087591241,Off-Peak Hours,Low
201,2011-01-09,15,0,0,1,0.22,0.35,0.3582,82,9,1,0,822,Weekend,0.09975669099756691,Off-Peak Hours,Low
202,2011-01-09,16,0,0,1,0.2,0.34,0.4478,92,9,1,0,822,Weekend,0.11192214111922141,Off-Peak Hours,Low
203,2011-01-09,17,0,0,1,0.18,0.37,0.3881,62,9,1,0,822,Weekend,0.07542579075425791,Peak Hours,Low
204,2011-01-09,18,0,0,1,0.16,0.4,0.3284,48,9,1,0,822,Weekend,0.058394160583941604,Peak Hours,Low
205,2011-01-09,19,0,0,1,0.16,0.43,0.3284,41,9,1,0,822,Weekend,0.049878345498783457,Peak Hours,Low
206,2011-01-09,20,0,0,1,0.14,0.46,0.2537,38,9,1,0,822,Weekend,0.046228710462287104,Off-Peak Hours,Low
207,2011-01-09,21,0,0,1,0.14,0.46,0.4179,20,9,1,0,822,Weekend,0.024330900243309004,Off-Peak Hours,Low
208,2011-01-09,22,0,0,1,0.14,0.46,0.2985,15,9,1,0,822,Weekend,0.01824817518248175,Off-Peak Hours,Low
